,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
15,s16,Movie,Oct-01,Kunle Afolayan,"['sadiq daba', 'david bailie', 'kayode olaiya']",['nigeria'],"September 1, 2019",2014,3,149 min,"Dramas, International Movies, Thrillers","Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women."
16,s17,TV Show,Feb-09,,"['shahd el yaseen', 'shaila sabt', 'hala']",[],"March 20, 2019",2018,3,1 Season,"International TV Shows, TV Dramas","As a psychology professor faces Alzheimer's, his daughter and her three close female friends experience romance, marriage, heartbreak and tragedy."
17,s18,Movie,22-Jul,Paul Greengrass,"['anders danielsen lie', 'jon øigarden', 'jonas strand gravli']","['other', 'other', 'united states']","October 10, 2018",2018,3,144 min,"Dramas, Thrillers","After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story."
18,s19,Movie,15-Aug,Swapnaneel Jayakar,"['rahul pethe', 'mrunmayee deshpande', 'adinath kothare']",['india'],"March 29, 2019",2019,3,124 min,"Comedies, Dramas, Independent Movies","On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy."
19,s20,Movie,'89,,"['lee dixon', 'ian wright', 'paul merson']",['united kingdom'],"May 16, 2018",2017,3,87 min,Sports Movies,"Mixing old footage with interviews, this is the story of Arsenal's improbable win versus Liverpool in the final moments of the 1989 championship game."
20,s21,Movie,​​Kuch Bheege Alfaaz,Onir,"['geetanjali thapa', 'zain khan durrani', 'shray rai tiwari']",['india'],"September 1, 2018",2018,3,110 min,"Dramas, Independent Movies, International Movies","After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond."
21,s22,Movie,​Goli Soda 2,Vijay Milton,"['samuthirakani', 'bharath seeni', 'vinoth']",['india'],"September 15, 2018",2018,3,128 min,"Action & Adventure, Dramas, International Movies","A taxi driver, a gangster and an athlete struggle to better their lives despite obstacles like crooked politicians, evil dons and caste barriers."
22,s23,Movie,​Maj Rati ​​Keteki,Santwana Bardoloi,"['adil hussain', 'shakil imtiaz', 'mahendra rabha']",['india'],"September 15, 2018",2017,3,117 min,"Dramas, International Movies","A successful writer returns to the town that launched his career, encountering people who spark nostalgic, often painfully illuminating flashbacks."
23,s24,Movie,​Mayurakshi,Atanu Ghosh,"['soumitra chatterjee', 'prasenjit chatterjee', 'indrani haldar']",['india'],"September 15, 2018",2017,3,100 min,"Dramas, International Movies","When a middle-aged divorcee returns to Kolkata to visit his ailing father, long-buried memories resurface, bringing new discoveries with them."
24,s25,TV Show,​SAINT SEIYA: Knights of the Zodiac,,"['bryson baugus', 'emily neves', 'blake shepard']",['japan'],"January 23, 2020",2020,3,2 Seasons,"Anime Series, International TV Shows","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all."
25,s26,Movie,(T)ERROR,"Lyric R. Cabral, David Felix Sutcliffe",[],['united states'],"June 30, 2016",2015,2,84 min,Documentaries,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.
26,s27,TV Show,(Un)Well,,[],['united states'],"August 12, 2020",2020,3,1 Season,Reality TV,"This docuseries takes a deep dive into the lucrative wellness industry, which touts health and healing. But do the products live up to the promises?"
27,s28,Movie,#Alive,Cho Il,"['yoo ah-in', 'park shin-hye']",['south korea'],"September 8, 2020",2020,3,99 min,"Horror Movies, International Movies, Thrillers","As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out."
28,s29,Movie,#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto","['helen mirren', 'gengher gatti']",['italy'],"July 1, 2020",2019,3,95 min,"Documentaries, International Movies","Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren."
29,s30,TV Show,#blackAF,,"['kenya barris', 'rashida jones', 'iman benson']",['united states'],"April 17, 2020",2020,3,1 Season,TV Comedies,"Kenya Barris and his family navigate relationships, race and culture while grappling with their newfound success in this comedy series."
30,s31,Movie,#cats_the_mewvie,Michael Margolis,[],['canada'],"February 5, 2020",2020,3,90 min,"Documentaries, International Movies","This pawesome documentary explores how our feline friends became online icons, from the earliest text memes to the rise of celebrity cat influencers."
31,s32,Movie,#FriendButMarried,Rako Prijanto,"['adipati dolken', 'vanesha prescilla', 'rendi jhon']",['indonesia'],"May 21, 2020",2018,2,102 min,"Dramas, International Movies, Romantic Movies","Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married."
32,s33,Movie,#FriendButMarried 2,Rako Prijanto,"['adipati dolken', 'mawar de jongh', 'sari nila']",['indonesia'],"June 28, 2020",2020,2,104 min,"Dramas, International Movies, Romantic Movies","As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage."
33,s34,Movie,#realityhigh,Fernando Lebrija,"['nesta cooper', 'kate walsh', 'john michael higgins']",['united states'],"September 8, 2017",2017,3,99 min,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
34,s35,Movie,#Roxy,Michael Kennedy,"['jake short', 'sarah fisher', 'booboo stewart']",['canada'],"April 10, 2019",2018,3,105 min,"Comedies, Romantic Movies",A teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.
35,s36,Movie,#Rucker50,Robert McCullough Jr.,[],['united states'],"December 1, 2016",2016,3,56 min,"Documentaries, Sports Movies",This documentary celebrates the 50th anniversary of the Harlem sports program that has inspired countless city kids to become pro basketball players.
36,s37,Movie,#Selfie,Cristina Jacob,"['flavia hojda', 'crina semciuc', 'olimpia melinte']",['other'],"June 1, 2019",2014,3,125 min,"Comedies, Dramas, International Movies","Two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang."
37,s38,Movie,#Selfie 69,Cristina Jacob,"['maia morgenstern', 'olimpia melinte', 'crina semciuc']",['other'],"June 1, 2019",2016,3,119 min,"Comedies, Dramas, International Movies","After a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days."
38,s39,TV Show,แผนร้ายนายเจ้าเล่ห์,,"['chutavuth pattarakampol', 'sheranut yusananda', 'nichaphat chatchaipholrat']",[],"March 30, 2019",2016,3,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","When two brothers fall for two sisters, they quickly realize the age differences between them are too big to ignore."
39,s40,Movie,"¡Ay, mi madre!",Frank Ariza,"['estefanía de los santos', 'secun de la rosa', 'terele pávez']",['spain'],"July 19, 2019",2019,3,81 min,"Comedies, International Movies","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance."
40,s41,Movie,Çarsi Pazar,Muharrem Gülmez,"['erdem yener', 'ayhan taş', 'emin olcay']",['turkey'],"March 10, 2017",2015,3,97 min,"Comedies, International Movies",The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.
41,s42,Movie,Ég man þig,Óskar Thór Axelsson,"['jóhannes haukur jóhannesson', 'ágústa eva erlendsdóttir', 'elma stefania agustsdottir']",['other'],"March 27, 2018",2017,3,106 min,"Horror Movies, International Movies","Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret."
42,s43,Movie,Çok Filim Hareketler Bunlar,Ozan Açıktan,"['ayça erturan', 'aydan taş', 'ayşegül akdemir']",['turkey'],"March 10, 2017",2010,3,99 min,"Comedies, International Movies","Vignettes of the summer holidays follow vacationers as they battle mosquitoes, suffer ruined plans and otherwise hit snags in their precious time off."
43,s44,Movie,Òlòtūré,Kenneth Gyang,"['beverly osu', 'sharon ooja', 'omowunmi dada']",['nigeria'],"October 2, 2020",2020,3,107 min,"Dramas, International Movies","In Lagos, a journalist goes undercover as a prostitute to expose human trafficking. What she finds is a world of exploited women and ruthless violence."
44,s45,Movie,Æon Flux,Karyn Kusama,"['charlize theron', 'marton csokas', 'jonny lee miller']",['united states'],"February 1, 2018",2005,3,93 min,"Action & Adventure, Sci-Fi & Fantasy","Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader."
45,s46,TV Show,Şubat,,"['alican yücesoy', 'melisa sözen', 'musa uzunlar']",['turkey'],"January 17, 2017",2013,3,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","An orphan subjected to tests that gave him superpowers is rescued and raised on Istanbul's streets, where he falls for a reporter linked to his past."
46,s47,Movie,1 Chance 2 Dance,Adam Deyoe,"['lexi giovagnoli', 'justin ray', 'rae latt']",['united states'],"July 1, 2017",2014,3,89 min,"Dramas, Romantic Movies","When an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream."
47,s48,Movie,1 Mile to You,Leif Tilden,"['billy crudup', 'graham rogers', 'liana liberato']",['united states'],"July 7, 2017",2017,3,105 min,"Dramas, Romantic Movies, Sports Movies","After escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach."
48,s49,Movie,10 Days in Sun City,Adze Ugah,"['ayo makun', 'adesua etomi', 'richard mofe-damijo']","['south africa', 'nigeria']","October 18, 2019",2017,3,87 min,"Comedies, International Movies, Romantic Movies","After his girlfriend wins the Miss Nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in South Africa."
49,s50,Movie,10 jours en or,Nicolas Brossette,"['franck dubosc', 'claude rich', 'marie kremer']",['france'],"July 1, 2017",2012,3,97 min,"Comedies, Dramas, International Movies","When a carefree bachelor is unexpectedly left in charge of a young boy, the two embark on a road trip that will change both of their lives."
50,s51,Movie,"10,000 B.C.",Roland Emmerich,"['steven strait', 'camilla belle', 'cliff curtis']","['united states', 'south africa']","June 1, 2019",2008,3,109 min,Action & Adventure,Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.
51,s52,TV Show,100 Days My Prince,,"['doh kyung-soo', 'nam ji-hyun', 'cho seong-ha']",['south korea'],"December 7, 2020",2018,3,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas","Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette."
52,s53,Movie,100 Days Of Solitude,,[],['spain'],"July 6, 2018",2018,3,93 min,"Documentaries, International Movies","Spanish photographer José Díaz spends 100 days living alone on a remote mountain, connecting to nature and documenting the beauty of his surroundings."
53,s54,TV Show,100 Humans,,"['zainab johnson', 'sammy obeid', 'alie ward']",['united states'],"March 13, 2020",2020,3,1 Season,"Docuseries, Science & Nature TV","One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human."
54,s55,Movie,100 Meters,Marcel Barrena,"['dani rovira', 'karra elejalde', 'alexandra jiménez']","['other', 'spain']","March 10, 2017",2016,3,109 min,"Dramas, International Movies, Sports Movies","A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help."
55,s56,Movie,100 Things to do Before High School,,"['isabela moner', 'jaheem toombs', 'owen joyner']",['united states'],"November 2, 2019",2014,1,44 min,Movies,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years."
56,s57,Movie,100 Years: One Woman's Fight for Justice,Melinda Janko,[],['united states'],"March 20, 2018",2016,3,75 min,Documentaries,This documentary chronicles Elouise Cobell's long fight against the U.S. government for the gross mismanagement of mineral-rich Native American land.
57,s58,Movie,100% Halal,Jastis Arimba,"['anisa rahma', 'ariyo wahab', 'anandito dwis']",['indonesia'],"January 7, 2021",2020,3,101 min,"Dramas, International Movies","After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid."
58,s59,TV Show,100% Hotter,,"['daniel palmer', 'melissa sophia', 'karen williams']",['united kingdom'],"November 1, 2019",2017,3,1 Season,"British TV Shows, International TV Shows, Reality TV","A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders."
59,s60,Movie,1000 Rupee Note,Shrihari Sathe,"['usha naik', 'sandeep pathak', 'shrikant yadav']",['india'],"December 1, 2016",2014,3,89 min,"Dramas, International Movies","After randomly receiving a handsome political bribe, a sweet, poor elderly woman decides to treat herself a shopping spree, which doesn't go smoothly."
60,s61,Movie,12 ROUND GUN,Sam Upton,"['sam upton', 'jared abrahamson', 'mark boone junior']",['united states'],"March 14, 2019",2017,3,90 min,"Dramas, Independent Movies, Sports Movies","Dealing with personal demons and the death of his son, a prizefighter attempts a return to the ring by challenging his rival to a 12-round rematch."
61,s62,TV Show,12 Years Promise,,"['so-yeon lee', 'namkoong min', 'tae-im lee']",['south korea'],"May 22, 2017",2014,3,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea."
62,s63,Movie,13 Cameras,Victor Zarcoff,"['pj mccabe', 'brianne moncrief', 'sarah baldwin']",['united states'],"August 13, 2016",2015,2,90 min,"Horror Movies, Independent Movies, Thrillers","Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras."
63,s64,TV Show,13 Reasons Why,,"['dylan minnette', 'katherine langford', 'kate walsh']",['united states'],"June 5, 2020",2020,3,4 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries","After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice."
64,s65,TV Show,13 Reasons Why: Beyond the Reasons,,"['dylan minnette', 'katherine langford', 'kate walsh']",['united states'],"August 23, 2019",2019,3,3 Seasons,"Crime TV Shows, Docuseries","Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in ""13 Reasons Why."""
65,s66,Movie,13 Sins,Daniel Stamm,"['mark webber', 'rutina wesley', 'devon graye']",['united states'],"January 13, 2019",2014,3,93 min,"Horror Movies, Thrillers","A man agrees to appear on a game show with a $6 million prize. But as the challenges become more extreme, he realizes he's made a grave mistake."
66,s67,Movie,13TH,Ava DuVernay,[],['united states'],"October 7, 2016",2016,3,101 min,Documentaries,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom."
67,s68,Movie,13TH: A Conversation with Oprah Winfrey & Ava DuVernay,,"['oprah winfrey', 'ava duvernay']",[],"January 26, 2017",2017,2,37 min,Movies,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system."
68,s69,Movie,14 Blades,Daniel Lee,"['donnie yen', 'zhao wei', 'wu chun']","['hong kong', 'china', 'other']","April 3, 2019",2010,3,113 min,"Action & Adventure, International Movies","In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed."
69,s70,Movie,14 Cameras,"Scott Hussion, Seth Fuller","['neville archambault', 'amber midthunder', 'brytnee ratledge']",['united states'],"October 27, 2018",2018,3,89 min,"Horror Movies, Thrillers","Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy."
70,s71,Movie,14 Minutes from Earth,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",[],['united states'],"February 1, 2019",2016,3,84 min,Documentaries,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.
71,s72,Movie,16 Blocks,Richard Donner,"['bruce willis', 'mos def', 'david morse']","['united states', 'germany']","November 1, 2019",2006,3,102 min,Action & Adventure,"Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive."
72,s73,Movie,17 Again,Burr Steers,"['zac efron', 'leslie mann', 'matthew perry']",['united states'],"January 1, 2021",2009,3,102 min,Comedies,"Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again."
73,s74,Movie,18 Presents,Francesco Amato,"['vittoria puccini', 'benedetta porcaroli', 'edoardo leo']",['italy'],"May 8, 2020",2020,3,114 min,"Dramas, Independent Movies, International Movies",A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.
74,s75,Movie,1898: Our Last Men in the Philippines,Salvador Calvo,"['luis tosar', 'javier gutiérrez', 'álvaro cervantes']",['spain'],"June 2, 2017",2016,3,130 min,"Dramas, International Movies","While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents."
75,s76,Movie,1BR,David Marmor,"['nicole brydon bloom', 'giles matthey', 'taylor nichols']",['united states'],"August 23, 2020",2019,3,90 min,"Horror Movies, Independent Movies, Thrillers","Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community."
76,s77,Movie,1st Summoning,Raymond Wood,"['hayley lovitt', 'teddy cole', 'brook todd']",['united states'],"July 26, 2019",2018,3,94 min,"Horror Movies, Independent Movies","Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think."
77,s78,Movie,2 Alone in Paris,"Ramzy Bedia, Éric Judor","['ramzy bedia', 'éric judor', 'benoît magimel']",['france'],"June 1, 2020",2008,3,97 min,"Comedies, International Movies","A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth."
78,s79,Movie,2 States,Abhishek Varman,"['alia bhatt', 'arjun kapoor', 'ronit roy']",['india'],"August 4, 2018",2014,3,143 min,"Comedies, Dramas, International Movies","Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences."
79,s80,Movie,20 Feet From Stardom,Morgan Neville,"['darlene love', 'merry clayton', 'lisa fischer']",['united states'],"September 22, 2018",2013,3,91 min,"Documentaries, Music & Musicals","Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support."
80,s81,TV Show,20 Minutes,,"['tuba büyüküstün', 'ilker aksum', 'bülent emin yarar']",['turkey'],"August 15, 2017",2013,3,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth."
81,s82,Movie,2015 Dream Concert,,"['4minute', 'b1a4', 'btob']",['south korea'],"April 28, 2017",2015,3,107 min,"International Movies, Music & Musicals","The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium."
82,s83,Movie,2036 Origin Unknown,Hasraf Dulull,"['katee sackhoff', 'ray fearon', 'julie cox']",['united kingdom'],"December 20, 2018",2018,3,95 min,Sci-Fi & Fantasy,"Working with an artificial intelligence to investigate the failure of a deadly Mars landing, a mission controller makes an astonishing discovery."
83,s84,Movie,20th Century Women,Mike Mills,"['annette bening', 'elle fanning', 'greta gerwig']",['united states'],"June 28, 2019",2016,3,119 min,"Dramas, Independent Movies","In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him."
84,s85,Movie,21 & Over,"Jon Lucas, Scott Moore","['miles teller', 'skylar astin', 'justin chon']",['united states'],"April 16, 2019",2013,3,93 min,Comedies,Jeff's straight-and-narrow life changes abruptly when his buddies take him out for a birthday bash – the night before a crucial med school interview.
85,s86,TV Show,21 Again,,['laura morgan'],['united kingdom'],"July 1, 2020",2019,3,1 Season,"British TV Shows, Reality TV","In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z."
86,s87,TV Show,21 Sarfarosh: Saragarhi 1897,,"['luke kenny', 'mohit raina', 'mukul dev']",['india'],"December 1, 2018",2018,3,1 Season,"International TV Shows, TV Dramas","In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans."
87,s88,TV Show,21 Thunder,,"['stephanie bennett', 'emmanuel kabongo', 'rj fetherstonhaugh']",['canada'],"March 1, 2018",2017,3,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence."
88,s89,Movie,2307: Winter's Dream,Joey Curtis,"['paul sidhu', 'arielle holmes', 'branden coles']",['united states'],"March 1, 2018",2016,3,101 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy","In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion."
89,s90,Movie,24 Hours to Live,Brian Smrz,"['ethan hawke', 'xu qing', 'paul anderson']","['south africa', 'china', 'united states']","April 7, 2018",2017,3,93 min,Action & Adventure,"Revived by an experimental procedure, a hit man gets to live an extra 24 hours – which he uses to avenge his dead wife and child and redeem himself."
90,s91,Movie,25 Kille,Simranjit Singh Hundal,"['guggu gill', 'yograj singh', 'sonia mann']",['india'],"October 1, 2018",2016,3,140 min,"Action & Adventure, Dramas, International Movies","Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over."
91,s92,Movie,26 Years,Geun-hyun Cho,"['goo jin', 'hye-jin han', 'soo-bin bae']",['south korea'],"October 1, 2017",2012,3,135 min,"Dramas, International Movies, Thrillers","Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator."
92,s93,Movie,"27, el club de los malditos",Nicanor Loreti,"['diego capusotto', 'sofía gala', 'daniel aráoz']",['argentina'],"May 1, 2018",2018,3,82 min,"Action & Adventure, Comedies, International Movies","After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27."
93,s94,Movie,27: Gone Too Soon,Simon Napier-Bell,"['janis joplin', 'jimi hendrix', 'amy winehouse']",['united kingdom'],"May 1, 2018",2017,3,70 min,Documentaries,"Explore the circumstances surrounding the tragic deaths at 27 of Jimi Hendrix, Jim Morrison, Brian Jones, Janis Joplin, Kurt Cobain and Amy Winehouse."
94,s95,Movie,28 Days,Betty Thomas,"['sandra bullock', 'viggo mortensen', 'dominic west']",['united states'],"September 30, 2020",2000,3,104 min,"Comedies, Dramas","After her drunken antics result in property damage, an alcoholic journalist enters rehab – and soon meets a fellow resident who changes her outlook."
95,s96,TV Show,28 Moons,,"['jin-sung yang', 'kyu-jong kim', 'tae-hwan kang']",['south korea'],"June 10, 2017",2016,3,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows","When her fiancé acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper."
96,s97,Movie,3 Days to Kill,McG,"['kevin costner', 'amber heard', 'hailee steinfeld']","['united states', 'france', 'other']","December 1, 2020",2014,3,117 min,Action & Adventure,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.
97,s98,Movie,3 Deewarein,Nagesh Kukunoor,"['naseeruddin shah', 'jackie shroff', 'juhi chawla']",[],"December 31, 2019",2003,3,121 min,"Dramas, International Movies, Thrillers","A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them."
98,s99,Movie,3 Generations,Gaby Dellal,"['elle fanning', 'naomi watts', 'susan sarandon']",['united states'],"August 28, 2017",2015,3,92 min,"Dramas, LGBTQ Movies","When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father."
99,s100,Movie,3 Heroines,Iman Brotoseno,"['reza rahadian', 'bunga citra lestari', 'tara basro']",['indonesia'],"January 5, 2019",2016,3,124 min,"Dramas, International Movies, Sports Movies",Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.
