,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,tconst
286,s287,Movie,about a boy,"Chris Weitz, Paul Weitz","['nicholas hoult', 'toni collette', 'victoria smurfit']","['united kingdom', 'united states', 'france']","February 1, 2019",2002,3,101 min,"Comedies, Dramas, International Movies","Hip, irresponsible Londoner Will invents an imaginary son and starts attending single-parent meetings to find available women.",3320
324,s325,TV Show,after life,,"['ricky gervais', 'tom basden', 'tony way']",['united kingdom'],"April 24, 2020",2020,3,2 Seasons,"British TV Shows, International TV Shows, TV Comedies","Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.",10396
332,s333,Movie,aftershock,Nicolás López,"['eli roth', 'andrea osvárt', 'ariel levy']","['united states', 'other']","March 7, 2018",2012,3,89 min,"Action & Adventure, Horror Movies","An American tourist and his friends are partying in Chile, but a major earthquake devastates the area and forces them to scramble for survival.",6257
343,s344,Movie,agneepath,Mukul Anand,"['amitabh bachchan', 'mithun chakraborty', 'danny denzongpa']",['india'],"April 1, 2020",1990,3,174 min,"Dramas, International Movies","A boy grows up to become a gangster in pursuit of the mobster who killed his innocent father, but revenge and reparation may come at great costs.",11933
354,s355,Movie,aitraaz,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","['akshay kumar', 'kareena kapoor', 'priyanka chopra']",['india'],"March 1, 2018",2004,3,153 min,"International Movies, Music & Musicals, Romantic Movies",A happily married business executive is forced to deal with an episode from his past that he had long thought was put behind him.,16000
392,s393,Movie,alice doesn't live here anymore,Martin Scorsese,"['ellen burstyn', 'kris kristofferson', 'billy green bush']",['united states'],"July 1, 2019",1974,3,112 min,"Classic Movies, Comedies, Dramas","A widowed singer and single mother starts over as a diner waitress in Arizona, befriending her coworkers and romancing a ruggedly handsome rancher.",16418
401,s402,Movie,alive and kicking,Susan Glatzer,[],"['other', 'united states']","August 10, 2017",2016,3,89 min,Documentaries,Take an inside look at swing dancing's continued prosperity and the lively and joyous personalities that make the art form so unique.,2968
408,s409,Movie,all dogs go to heaven,"Don Bluth, Gary Goldman, Dan Kuenster","['dom deluise', 'burt reynolds', 'daryl gilley']","['other', 'united kingdom', 'united states']","June 1, 2020",1989,2,85 min,Children & Family Movies,"When a canine con artist becomes an angel, he sneaks back to Earth and crosses paths with an orphan girl who can speak to animals.",17133
428,s429,TV Show,alone,,[],[],"June 2, 2020",2019,3,1 Season,Reality TV,"Equipped with limited resources, an isolated group of individuals is subjected to the harsh conditions of the wilderness and must survive — or tap out.",11441
431,s432,Movie,along came a spider,Lee Tamahori,"['morgan freeman', 'monica potter', 'michael wincott']","['united states', 'germany', 'canada']","October 1, 2019",2001,3,103 min,Thrillers,"When a girl is kidnapped from a prestigious prep school, a homicide detective takes the case, teaming up with young security agent.",12299
439,s440,Movie,always a bridesmaid,Trey Haley,"['javicia leslie', 'jordan calloway', 'richard lawson']",['united states'],"March 3, 2020",2019,3,98 min,"Comedies, Romantic Movies","Never married but always at weddings, a copy editor finally dives into the dating pool but wonders if her love story involves staying single forever.",8768
443,s444,Movie,amandla! a revolution in four part harmony,Lee Hirsch,"['miriam makeba', 'hugh masekela', 'abdullah ibrahim']","['south africa', 'united states']","September 28, 2020",2002,3,103 min,"Documentaries, International Movies, Music & Musicals",This documentary recounts the fascinating and little-known role that music has played in the struggle to eradicate apartheid in South Africa.,8066
446,s447,Movie,amar akbar anthony,Manmohan Desai,"['vinod khanna', 'rishi kapoor', 'amitabh bachchan']",['india'],"December 31, 2019",1977,3,172 min,"Action & Adventure, Classic Movies, Comedies","Abandoned in a park by their father, Amar, Akbar and Anthony grow up independently and have no knowledge of one another. They're reunited as adults when, by coincidence, they all give blood at the same hospital.",9837
448,s449,Movie,amateur,Ryan Koo,"['michael rainey jr.', 'josh charles', 'brian white']",['united states'],"April 6, 2018",2018,3,96 min,"Dramas, Independent Movies, Sports Movies","After he's recruited to an elite prep school, a 14-year-old basketball phenom is confronted by corruption and greed in amateur sports.",13676
455,s456,Movie,american beauty,Sam Mendes,"['kevin spacey', 'annette bening', 'thora birch']",['united states'],"January 1, 2020",1999,3,122 min,Dramas,"While struggling to endure his tightly wound wife, an unfulfilling job and a surly teen, a man becomes obsessed with one of his daughter's friends.",571
457,s458,TV Show,american crime,,"['felicity huffman', 'timothy hutton', 'elvis nolasco']",['united states'],"May 30, 2017",2017,3,3 Seasons,"Crime TV Shows, TV Dramas","This anthology series unfolds a different story arc for each season, with dramas focusing on aspects of American life and the criminal justice system.",8513
466,s467,Movie,american history x,Tony Kaye,"['edward norton', 'edward furlong', ""beverly d'angelo""]",['united states'],"November 1, 2019",1998,3,119 min,Dramas,A neo-Nazi gets sent to prison for murder and comes out a changed man. But can he prevent his younger brother from following in his footsteps?,11152
473,s474,Movie,american psycho,Mary Harron,"['christian bale', 'willem dafoe', 'jared leto']","['united states', 'canada']","September 1, 2019",2000,3,102 min,"Comedies, Cult Movies, Dramas","With chiseled good looks that belie his insanity, a businessman takes pathological pride in yuppie pursuits and indulges in sudden homicidal urges.",4109
485,s486,Movie,an american tail,Don Bluth,"['erica yohn', 'nehemiah persoff', 'amy green']",['united states'],"April 1, 2018",1986,2,80 min,Children & Family Movies,"Fievel, a young Russian mouse, immigrates to America and must make his own way in the strange and sometimes perilous new world.",11084
486,s487,Movie,an american tail: fievel goes west,"Phil Nibbelink, Simon Wells","['philip glasser', 'james stewart', 'erica yohn']",['united states'],"April 1, 2018",1991,2,75 min,Children & Family Movies,"Fievel and his family head west for what turns out to be a wild adventure. Deep in cowboy country, the intrepid mouse faces down a nasty feline.",7636
487,s488,Movie,an american tail: the mystery of the night monster,Larry Latham,"['thomas dekker', 'lacey chabert', 'jane singer']",['united states'],"April 1, 2018",1999,2,75 min,Children & Family Movies,"When a monster goes on a mouse-napping spree in New York, Fievel and his friends help a reporter get to the bottom of the mystery.",13558
507,s508,Movie,andaz apna apna,Rajkumar Santoshi,"['aamir khan', 'salman khan', 'raveena tandon']",['india'],"May 11, 2020",1994,3,160 min,"Action & Adventure, Comedies, Cult Movies","Broke and with no concrete plans for the future, two young men discover that a stunning heiress lives nearby and try to charm her into marriage.",2055
517,s518,Movie,angel eyes,Luis Mandoki,"['jennifer lopez', 'jim caviezel', 'sonia braga']",['united states'],"September 5, 2020",2001,3,103 min,"Dramas, Romantic Movies","When a violent assault leaves her vulnerable, a streetwise Chicago cop receives help from a haunted loner who's struggling with traumas of his own.",5227
522,s523,Movie,anger management,Peter Segal,"['adam sandler', 'jack nicholson', 'marisa tomei']",['united states'],"November 1, 2019",2003,3,105 min,Comedies,"After a gentle businessman is forced to get anger management counseling, his therapist moves in – but turns out to have anger issues of his own.",16882
527,s528,Movie,anima,Paul Thomas Anderson,['thom yorke'],['united kingdom'],"June 27, 2019",2019,3,15 min,"Dramas, Independent Movies, Music & Musicals","In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead stars in a mind-bending visual piece. Best played loud.",3110
528,s529,Movie,animal crackers,"Tony Bancroft, Scott Christian Sava","['emily blunt', 'john krasinski', 'ian mckellen']","['china', 'spain', 'south korea']","July 24, 2020",2020,1,106 min,"Children & Family Movies, Comedies","Enchanted animal crackers turn Owen into whatever shape he eats! But to save the family circus, he'll have to keep them out of his evil uncle's hands.",907
587,s588,Movie,arthur,Jason Winer,"['russell brand', 'helen mirren', 'greta gerwig']",['united states'],"April 1, 2019",2011,3,110 min,"Comedies, Romantic Movies",Russell Brand stars in this remake as a philanderer who must decide whether to give up an inheritance of millions for the sake of romance.,9043
592,s593,Movie,as good as it gets,James L. Brooks,"['jack nicholson', 'helen hunt', 'greg kinnear']",['united states'],"January 1, 2020",1997,3,139 min,"Comedies, Romantic Movies","The structured world of a sour, obsessive-compulsive author crumbles when he's drawn into the lives of a stressed-out single mom and his gay neighbor.",9728
599,s600,Movie,asoka,Santosh Sivan,"['shah rukh khan', 'kareena kapoor', 'danny denzongpa']",['india'],"March 15, 2017",2001,3,168 min,"Action & Adventure, Dramas, International Movies",This elaborate Bollywood epic dramatizes one man's transformation from a vengeful and cunning warrior into a legendary leader and teacher of Buddhism.,14587
625,s626,Movie,austin powers in goldmember,Jay Roach,"['mike myers', 'beyoncé knowles-carter', 'seth green']",['united states'],"December 1, 2019",2002,3,94 min,"Action & Adventure, Comedies","The world's most shagadelic spy continues his fight against the diabolical Dr. Evil, who's teamed with a new foe: 1970s villain Goldmember.",7032
626,s627,Movie,austin powers: international man of mystery,Jay Roach,"['mike myers', 'elizabeth hurley', 'michael york']",['united states'],"December 1, 2019",1997,3,90 min,Comedies,"A swingin' fashion photographer by day and a groovy British secret agent by night, superspy Austin Powers must foil the sinister schemes of Dr. Evil.",13195
627,s628,Movie,austin powers: the spy who shagged me,Jay Roach,"['mike myers', 'heather graham', 'michael york']",['united states'],"December 1, 2019",1999,3,95 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy","When diabolical genius Dr. Evil travels back in time to steal superspy Austin Powers's ""mojo,"" Austin must return to the swingin' '60s himself.",14725
678,s679,Movie,back to school,"Rémy Four, Julien War","['ludovik', 'jérôme niel', 'nicolas berno']",[],"August 30, 2019",2019,3,84 min,"Comedies, International Movies","Eager to flaunt their success in front of old bullies and teenage crushes, two best friends spend a wild night at their middle school reunion.",2757
684,s685,Movie,backtrack,Michael Petroni,"['adrien brody', 'sam neill', 'robin mcleavy']","['australia', 'united kingdom', 'other']","December 25, 2018",2015,3,90 min,"Dramas, Thrillers","Haunted by visions of the dead, psychologist Peter returns home to confront a long-ago trauma. But will the trip exorcise or embolden the ghosts?",15678
687,s688,Movie,bad boys,Michael Bay,"['will smith', 'martin lawrence', 'téa leoni']",['united states'],"October 1, 2019",1995,3,119 min,"Action & Adventure, Comedies","In this fast-paced actioner, two Miami narcotics cops are hot on the trail of a master crook who has snatched $100 million worth of heroin.",2186
688,s689,Movie,bad boys ii,Michael Bay,"['will smith', 'martin lawrence', 'jordi mollà']",['united states'],"October 1, 2019",2003,3,147 min,"Action & Adventure, Comedies","In this hyperkinetic sequel, a pair of Miami narcotics cops investigate a Cuban drug kingpin's connection to Florida's influx of Ecstasy.",3638
690,s691,TV Show,bad education,,"['jack whitehall', 'mathew horne', 'sarah solemani']",['united kingdom']," December 15, 2018",2014,3,3 Seasons,"British TV Shows, TV Comedies","A history teacher at the posh Abbey Grove, Alfie Wickers is something truly special: He's his school's, if not England's, single worst educator.",2813
708,s709,Movie,balto,Simon Wells,"['kevin bacon', 'bob hoskins', 'bridget fonda']",['united states'],"April 1, 2018",1995,2,78 min,"Children & Family Movies, Dramas","Balto, who is half wolf and half dog, endures the taunts of disapproving humans as he guides a precious cargo of medicine through the Alaskan winter.",14564
709,s710,Movie,balto 2: wolf quest,Phil Weinstein,"['maurice lamarche', 'jodi benson', 'lacey chabert']",['united states'],"April 1, 2018",2001,2,75 min,Children & Family Movies,"Half-dog, half-wolf Balto (voiced by Maurice LaMarche) and his wife proudly put their pups up for adoption to humans, but when nobody takes daughter Aleu because she looks too much like a wolf, she runs away to search for her place in the world.",9814
710,s711,Movie,balto 3: wings of change,Phil Weinstein,"['maurice lamarche', 'sean astin', 'keith carradine']",['united states'],"April 1, 2018",2004,2,78 min,Children & Family Movies,"A pilot challenges Balto's son Kodi and his sled team to see who can deliver the mail faster, but the dogs race to the rescue when the plane vanishes.",15403
731,s732,TV Show,barbarians,,"['laurence rupp', 'jeanne goursaud', 'david schütter']",['germany'],"October 23, 2020",2020,3,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas","Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash.",16582
757,s758,Movie,baseketball,David Zucker,"['trey parker', 'matt stone', 'dian bachar']",['united states'],"November 1, 2018",1998,3,103 min,"Comedies, Sports Movies","When two slackers' made-up sport, BASEketball, becomes a national craze, they hope to cash in on the basketball/baseball hybrid's popularity.",2173
758,s759,Movie,basic instinct,Paul Verhoeven,"['michael douglas', 'sharon stone', 'george dzundza']","['united states', 'france']","October 1, 2020",1992,3,128 min,"Classic Movies, Thrillers",A detective investigating a rock star's brutal murder becomes drawn to the prime suspect — a mysterious novelist whose recent book mirrors the crime.,13705
770,s771,Movie,bawarchi,Hrishikesh Mukherjee,"['rajesh khanna', 'a.k. hangal', 'durga khote']",['india'],"December 31, 2019",1972,3,125 min,"Classic Movies, Comedies, Dramas",A dysfunctional middle-class family is transformed by the attentions of their talented new chef – until he vanishes along with their valuable jewels.,1214
794,s795,Movie,beavis and butt-head do america,Mike Judge,"['mike judge', 'bruce willis', 'demi moore']",['united states'],"November 20, 2019",1996,3,81 min,"Comedies, Cult Movies","After realizing that their boob tube is gone, Beavis and Butt-head set off on an expedition that takes them from Las Vegas to the nation's capital.",9785
795,s796,Movie,bebe's kids,Bruce W. Smith,"['faizon love', 'vanessa bell calloway', 'wayne collins']",['united states'],"November 20, 2019",1992,3,73 min,Comedies,"When ladies' man Robin meets Jamika, he falls head over heels, but she greets him with four surprises: her son and her girlfriend Bebe's three kids.",8033
811,s812,TV Show,behind enemy lines,,[],['united states'],"August 15, 2016",2001,3,1 Season,"British TV Shows, Docuseries","After dire setbacks in 1940, Winston Churchill commissions a new kind of fighting force: commandos trained to use stealth and audacious tactics.",12494
834,s835,Movie,benji,Brandon Camp,"['gabriel bateman', 'darby camp', 'kiele sanchez']","['other', 'united states']","March 16, 2018",2018,3,87 min,"Children & Family Movies, Dramas",A determined dog comes to the rescue and helps heal a broken family when a young boy and his sister stumble into some serious danger.,7610
835,s836,Movie,benji: off the leash,Joe Camp,"['nick whitaker', 'chris kendrick', 'randall newsome']",['united states'],"March 6, 2018",2004,3,100 min,"Children & Family Movies, Dramas","Benji is back in this charming story that's told from the pooch's point of view, tracking his early days as a pup to his current life in showbiz.",6383
866,s867,Movie,bewafaa,Dharmesh Darshan,"['anil kapoor', 'akshay kumar', 'kareena kapoor']",['india'],"July 21, 2019",2005,3,149 min,"Dramas, International Movies, Romantic Movies","A young woman faces pressure to marry her brother-in-law, after her sister dies while giving birth. But she's secretly in love with someone else.",11842
878,s879,Movie,beyond the clouds,Majid Majidi,"['ishaan khattar', 'malavika mohanan', 'goutam ghose']","['india', 'other']","August 10, 2018",2018,3,120 min,"Dramas, Independent Movies, International Movies",A youthful drug dealer in Mumbai must change his ways when the sister who raised him is assaulted by her boss and imprisoned for defending herself.,12481
901,s902,Movie,big daddy,Dennis Dugan,"['adam sandler', 'joey lauren adams', 'jon stewart']",['united states'],"October 1, 2020",1999,3,93 min,Comedies,"Dumped by his girlfriend because he refuses to accept responsibility, overgrown adolescent Sonny Koufax adopts a 5-year-old to prove he's a grownup.",15393
903,s904,Movie,big fat liar,Shawn Levy,"['frankie muniz', 'paul giamatti', 'amanda bynes']","['united states', 'germany']","January 15, 2020",2002,3,88 min,"Children & Family Movies, Comedies",Junior high students Jason and Kaylee take action when a greedy Hollywood producer turns Jason's essay into a hit film without giving him credit.,5333
912,s913,Movie,biggie & tupac,Nick Broomfield,['nick broomfield'],['united kingdom'],"January 26, 2019",2002,3,108 min,"Documentaries, Music & Musicals","British documentarian Nick Broomfield investigates the murders of rappers Tupac Shakur and Biggie Smalls, digging up some surprises in the process.",2262
927,s928,Movie,billy elliot,Stephen Daldry,"['jamie bell', 'gary lewis', 'stuart wells']","['united kingdom', 'france']","February 1, 2019",2000,3,110 min,"Dramas, Independent Movies, International Movies","When a boy trades boxing school for ballet lessons, he may take his newfound talent all the way to the top - and win over his disapproving father.",13412
942,s943,Movie,bittersweet,Khaled Marei,"['ahmed helmy', 'lotfy labib', 'edward']",['egypt'],"April 25, 2020",2010,3,132 min,"Comedies, Dramas, International Movies","After 20 years abroad, a photographer returns to his birth country of Egypt and gets stranded without identification in a now unfamiliar culture.",9661
944,s945,Movie,black,Raja Chanda,"['soham chakraborty', 'bidya sinha mim', 'ashish vidyarthi']",['india'],"September 19, 2020",2015,3,137 min,"Action & Adventure, International Movies","A small-town man takes on a dangerous gangster to avenge his father, a police officer who ended his own life after being framed in a deadly crime.",9771
951,s952,Movie,black hawk down,Ridley Scott,"['josh hartnett', 'ewan mcgregor', 'tom sizemore']","['united states', 'united kingdom']","January 1, 2019",2001,3,144 min,"Action & Adventure, Dramas","When U.S. forces attempt to capture two underlings of a Somali warlord, their helicopters are shot down and the Americans suffer heavy casualties.",6720
971,s972,Movie,blaze,Ethan Hawke,"['benjamin dickey', 'alia shawkat', 'josh hamilton']",['united states'],"August 30, 2020",2018,3,129 min,"Dramas, Independent Movies, Music & Musicals","An influential, if unsung country songwriter reflects on his career, and how the love of his life drove him to write his most personal music.",12076
978,s979,Movie,blind date,Clovis Cornillac,"['mélanie bernier', 'clovis cornillac', 'lilou fogli']",['france'],"October 15, 2016",2015,3,91 min,"Comedies, International Movies, Music & Musicals","A passionate pianist and a soulful puzzle maker who treasures silence aren't the best neighbors, but things get interesting when they start to date.",15901
993,s994,Movie,blow,Ted Demme,"['johnny depp', 'penélope cruz', 'franka potente']",['united states'],"October 1, 2019",2001,3,123 min,Dramas,Cocaine smuggler George rises from poverty to become one of the biggest drug dealers in America before his eventual downfall.,16792
994,s995,TV Show,blown away,,[],['canada'],"July 12, 2019",2019,3,1 Season,"International TV Shows, Reality TV","Ten master artists turn up the heat in glassblowing sculpture challenges for the chance to win $60,000 in prizes and the title of champion.",12077
1002,s1003,Movie,blue streak,Les Mayfield,"['martin lawrence', 'luke wilson', 'peter greene']","['germany', 'united states']","January 1, 2021",1999,3,94 min,"Action & Adventure, Comedies",A jewel thief returns to his hiding place after a stint in jail — only to find that his diamond is buried under a newly constructed police station.,13433
1041,s1042,Movie,bonnie and clyde,Arthur Penn,"['warren beatty', 'faye dunaway', 'michael j. pollard']",['united states'],"January 1, 2021",1967,3,111 min,"Action & Adventure, Classic Movies, Dramas","Bonnie Parker and Clyde Barrow are young, in love and on the run during a bullet-riddled bank robbery spree across Depression-ravaged America.",5287
1045,s1046,Movie,boom,Kaizad Gustad,"['amitabh bachchan', 'gulshan grover', 'jackie shroff']",['india'],"March 1, 2018",2003,3,79 min,"Action & Adventure, Dramas, International Movies","Following a fashion show mishap, three supermodels find themselves on the run from dangerous gangsters trying to recover a fortune in stolen diamonds.",3897
1048,s1049,TV Show,borderline,,"['david avery', 'jackie clune', 'david elms']",['united kingdom']," December 2, 2017",2017,3,2 Seasons,"British TV Shows, TV Comedies",A team of inept border agents tackles immigration issues at the fictional Northend Airport in this improvised mockumentary series.,2013
1070,s1071,TV Show,boys over flowers,,"['ku hye-sun', 'lee min-ho', 'kim hyun-joong']",['south korea'],"May 16, 2020",2009,3,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Unassuming high school girl Jan-di stands up to – and eventually falls for – a spoiled rich kid who belongs to the school's most powerful clique.,14922
1092,s1093,TV Show,breakout,,"['jeanette aw', 'elvin ng', 'zhou ying']",[],"July 1, 2017",2010,3,1 Season,"International TV Shows, TV Dramas","After losing her family in a suspicious car crash, a woman awakens from a 13-year coma determined to expose the truth about the long-ago tragedy.",11666
1112,s1113,Movie,brother,Julien Abraham,"['mhd', 'darren muselet', 'aïssa maïga']",['france'],"November 22, 2019",2019,3,97 min,"Dramas, Independent Movies, International Movies","Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.",9725
1117,s1118,Movie,brothers,Karan Malhotra,"['akshay kumar', 'sidharth malhotra', 'jackie shroff']","['india', 'united states']","April 1, 2020",2015,3,155 min,"Action & Adventure, Dramas, International Movies","After a troubled past with their alcoholic father, two estranged brothers prepare to face each other again as rivals in a street fighting tournament.",6024
1137,s1138,Movie,bully,Lee Hirsch,[],['united states'],"September 29, 2020",2012,3,98 min,Documentaries,This eye-opening documentary tracks the stories of five different families whose children are struggling to defend themselves from school bullies.,8174
1152,s1153,Movie,butterfield 8,Daniel Mann,"['elizabeth taylor', 'laurence harvey', 'eddie fisher']",['united states'],"November 1, 2019",1960,3,108 min,"Classic Movies, Dramas, Romantic Movies","Elizabeth Taylor won an Oscar as Gloria Wandrous, a stylish call girl who yearns to go straight, especially after she thinks she's found Mr. Right.",8190
1161,s1162,Movie,cabin fever,Travis Zariwny,"['gage golightly', 'matthew daddario', 'samuel davis']",['united states'],"June 6, 2019",2016,3,98 min,"Horror Movies, Thrillers","As a flesh-eating virus rips its way through a remote woodland cabin, the terrified teens vacationing inside wonder who'll fall victim next.",4753
1171,s1172,Movie,calendar girls,Madhur Bhandarkar,"['akanksha puri', 'avani modi', 'kyra dutt']",['india'],"October 15, 2017",2015,3,126 min,"Dramas, International Movies",Five calendar models try to navigate the twists and turns thrown in their path by the seductive and ruthless world of glamour.,6860
1194,s1195,Movie,can't hardly wait,"Harry Elfont, Deborah Kaplan","['jennifer love hewitt', 'ethan embry', 'charlie korsmo']",['united states'],"January 1, 2021",1998,3,101 min,"Comedies, Romantic Movies","At a wild high school graduation party, aspiring writer Preston hopes to declare his love to popular girl Amanda, who just got dumped by the class jock.",7633
1200,s1201,Movie,candyman,Bernard Rose,"['virginia madsen', 'tony todd', 'xander berkeley']","['united states', 'united kingdom']","October 1, 2019",1992,3,99 min,"Cult Movies, Horror Movies","Grad student Helen Lyle unintentionally summons the Candyman, a hook-handed creature made flesh by other people's belief in him.",12682
1212,s1213,TV Show,cardcaptor sakura,,"['miwa matsumoto', 'motoko kumai', 'nozomu sasaki']",['japan'],"June 1, 2020",1999,1,2 Seasons,"Anime Series, International TV Shows","After a young girl breaks the seal of a magical book, releasing the spirits of the cards inside, she must become a ""Cardcaptor"" and retrieve them.",8919
1226,s1227,Movie,carrie,Brian De Palma,"['sissy spacek', 'piper laurie', 'amy irving']",['united states'],"June 1, 2019",1976,3,98 min,"Classic Movies, Cult Movies, Horror Movies","An outcast teen with telekinetic ability lashes out with her deadly power when the high school ""in crowd"" torments her with a sick joke at the prom.",12890
1234,s1235,Movie,casino royale,Martin Campbell,"['daniel craig', 'judi dench', 'eva green']","['united kingdom', 'other', 'united states']","August 31, 2020",2006,3,145 min,Action & Adventure,"Daniel Craig makes his debut as the newly minted agent 007, who's pitted against an infamous financier of global terrorism – at the poker table.",11683
1241,s1242,Movie,cat on a hot tin roof,Richard Brooks,"['elizabeth taylor', 'paul newman', 'burl ives']",['united states'],"November 1, 2019",1958,2,108 min,"Classic Movies, Dramas","Members of a Southern clan scramble to curry favor with a dying, wealthy patriarch in this adaptation of Tennessee Williams's sizzling stage drama.",12742
1242,s1243,Movie,catch me if you can,Steven Spielberg,"['leonardo dicaprio', 'tom hanks', 'christopher walken']","['united states', 'canada']","January 1, 2021",2002,3,141 min,Dramas,"An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit.",8644
1256,s1257,Movie,center stage,Nicholas Hytner,"['amanda schull', 'zoe saldana', 'susan may pratt']",['united states'],"January 1, 2020",2000,3,116 min,Dramas,"Vying for a spot in the American Ballet Company, 12 dance students are ready to push their bodies and minds to the limit to realize their dreams.",2385
1265,s1266,Movie,chalte chalte,Aziz Mirza,"['shah rukh khan', 'rani mukerji', 'jas arora']",['india'],"July 1, 2018",2003,3,166 min,"Dramas, International Movies, Romantic Movies","Priya and Raj are polar opposites. Raj is brash and earthy, while Pirya is sophisticated and something of a perfectionist in all she does. They really are like oil and water, but nonetheless, they dare to fall in love.",11109
1269,s1270,Movie,chameli,Sudhir Mishra,"['kareena kapoor', 'rahul bose', 'rinke khanna']",['india'],"February 15, 2019",2004,3,102 min,"Dramas, International Movies","While taking shelter from a Mumbai monsoon, an investment banker forms an unlikely connection with a naïve prostitute over the course of the night.",10116
1280,s1281,Movie,charlie's angels,McG,"['cameron diaz', 'drew barrymore', 'lucy liu']","['united states', 'germany']","October 1, 2019",2000,3,98 min,"Action & Adventure, Comedies","Three beauties use their looks, charm and martial-arts training to kick butt on the trail of stolen software in this reboot of the classic TV series.",6552
1281,s1282,Movie,charlie's angels: full throttle,McG,"['cameron diaz', 'drew barrymore', 'lucy liu']",['united states'],"October 1, 2019",2003,3,106 min,"Action & Adventure, Comedies","In this reboot of the TV classic, the Angels are tasked with finding lost rings encoded with the personal information of people in witness protection.",7067
1283,s1284,Movie,charlotte's web,"Charles A. Nichols, Iwao Takamoto","['debbie reynolds', 'charles nelson reilly', 'paul lynde']",['united states'],"November 23, 2019",1973,2,94 min,"Children & Family Movies, Classic Movies","Follow the adventures of Wilbur the pig, Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story.",257
1288,s1289,Movie,chasing amy,Kevin Smith,"['ben affleck', 'joey lauren adams', 'jason lee']",['united states'],"January 1, 2020",1997,3,113 min,"Comedies, Cult Movies, Dramas","Comic book artist Holden meets the perfect woman, only to learn that she's a lesbian. But that doesn't stop him from falling in love with her.",331
